word,is_neologism,short_definition,long_definition,origin,usage
looksmaxxing,Y,"Efforts, sometimes extreme, young men take to look more attractive","Looksmaxxing refers to practices, especially among young men online, to enhance their physical appearance. These practices range in intensity, from everyday skincare to cosmetic surgery.","Looksmaxxing combines looks (in the sense of “physical appearance”) and maxxing (Internet and gaming slang based on max, short for maximize). The additional x may be influenced by such words as doxxing, a variant of dox. The term originated in the mid-2010s in the online community known as incels, celibate men generally associated with misogynist beliefs and extremist ideologies. By the early 2020s, it had spread across social media, especially TikTok. As the trend gained prominence in late 2023 and early 2024, looksmaxxing prompted discussion about its health and safety, as well concerns about toxic masculinity.

Looksmaxxing has a well-developed set of practices—and subculture, including its own specialized lingo. Various recommendations for skincare, grooming, exercise, dieting, and fashion are referred to as softmaxxing. More extreme activities are known as hardmaxxing, and can involve disordered eating and surgical body modifications. One activity closely associated with looksmaxxing is called mewing, a pseudoscientific tongue exercise purported to improve jaw structure. Indeed, a chiseled jaw—as well as a symmetrical face, pouty lips, hollowed cheeks, and an inwardly sloping eye slant called “hunter eyes”—are among stereotypical male beauty standards that looksmaxxers, as they are called, feel will help them attract women, boost their confidence, and attain greater success and status.","Looksmaxxing is widely used by its practitioners referring to specific techniques they consider to be self-improvement; looksmaxxers may post pictures of themselves at the gym, for instance, using the hashtag #looksmaxxing. Among critics, the word is often discussed in terms of its negative impacts on young men, including body dysmorphia and misogyny. Since it spread from incel forums to mainstream social media, looksmaxxing has become increasingly used in ironic ways online to make fun of the trend, as in “I’m looksmaxxing today by changing out of my pajamas.” In some instances, men may use looksmaxxing to caption a picture of themselves where they like how they look."
main character energy,Y,Dramatic self-confidence; obtrusive self-importance,Main character energy is an informal Internet expression for self-assured bearing or behavior. The phrase is used both to compliment self-confidence as well as criticize its excesses.,"A main character refers to a protagonist of a TV show, movie, book, etc. Main character energy has been used in an extended sense as a slang expression online since at least the late 2010s, referring to someone who becomes or acts like the center of attention. Energy, in informal language, broadly refers to the overall spirit or quality someone or something emanates. Main character energy spread on social media following a TikTok trend starting in May 2020. The trend involved videos featuring people (usually young women) posing as main characters “starring” in the metaphorical movies of their lives. The videos frequently featured a female character type that was quirky, introspective, carefree, and self-possessed, and they presented her comportment as a form of romanticized but authentic self-empowerment.

It is likely influenced by main character syndrome, which originated in the early 2010s as a pejorative expression used in role-playing games for a tendency of certain players to presume a leading part that dominates the action at the expense of others. It may also be influenced by big dick energy, which emerged in 2018 as a slang phrase for swaggering self-confidence.","Main character energy is widely used online to praise an attractive or admirable air of assurance someone—or less often, something—is exhibiting or embodying. Used in this way, it is associated with self-confidence and self-actualization in one’s life. The term is also occasionally used—sometimes interchangeably with the closely related expression main character syndrome—to denounce actions and behaviors of people accused of attention-seeking, egotism, self-importance, etc., as if they treat everyone else as mere “supporting actors” to their concerns. It is sometimes abbreviated as MCE and, as is common for many Internet slang terms, often used in a playful, ironic, or otherwise humorous manner."
manosphere,Y,Misogynistic male Internet groups; online media seen as promoting toxic masculinity,"The manosphere refers to male-centered websites, Internet communities, and other digital media regarded collectively as espousing anti-feminist views, typically involving misogyny and associated with far-right ideologies. Increasingly, the term refers more generally to a broader media environment, especially popular with young men online, criticized as promoting ultraconservative models of masculinity.","Manosphere combines man, the connecting element -o-, and -sphere, referring to a particular area of interest and the people associated with it. It is apparently modeled after the similar formation, blogosphere (blogs and bloggers collectively). While the term is found online by 2009, the broader ideology of the manosphere has decades-older roots in movements advocating for men’s rights, specifically as a backlash to feminism.

In the 2010s, the manosphere was associated with four main subcultures active online: men’s rights activists, who seek to redress forms of perceived male discrimination; Men Going Their Own Way, a group calling for male separatism; pick-up artists, who purvey sexist tips for seducing women; and incels, men who blame their involuntary celibacy on being rejected by women.

Common to these subcultures, and thus to the greater manosphere, is a belief that women (and their social gains through feminism) cause the problems faced by men—and by extension, society more generally. (Men who come into this belief are often described as red-pilled, or recognizing a ‘reality’ previously concealed from them.) The subcultures have expressed this belief in various forms and degrees of misogyny, and have been affiliated with acts of extreme misogynistic violence.

By the 2020s, the activity of the manosphere spread to mainstream social media, gaming platforms, and other digital media, including videos and podcasts by notorious influencers such as Andrew Tate. Much of the content associated with this spread has involved providing advice (and a sense of belonging) for men to help them attract women, boost their confidence, and attain greater success and status—but which content observers have connected to insidious misogyny and other extreme behaviors over time.","Manosphere is used in a formal manner in critical discussions of misogyny, especially in the context of concerns about its rise among young men online. Prominent social organizations, such as the Anti-Defamation League, have specifically defined and used the term in reference to extremism and hate groups. More informally, especially on social media, the term is used for activity, media, or prominent figures seen as promoting toxic masculinity, especially when associated with right-wing ideologies.

Manosphere is often preceded by the definite article, the, as in ‘the rhetoric of the manosphere.’ The term is sometimes used to modify other nouns, as in ‘manosphere influencers’ or ‘manosphere podcasts.’"
mog,Y,To look or perform far better than someone else,"Mog is a humorous Internet slang term meaning “to outclass,” used especially to describe one person as appearing far more attractive than another. It was originally used to praise one man as being taller, more muscular, or more stereotypically handsome in direct comparison to another man. Related forms included mogger, moggee.","Mog is apparently based on AMOG, an abbreviation of Alpha Male of Group, referring to the pseudoscientific archetype of the “dominant male” popular in the so-called manosphere, an Internet subculture associated with misogynist beliefs and extremist ideologies. AMOG emerged by the early 2000s, and mog by 2016, when the latter term is found in male Internet forums describing taller, more muscular men—judged superior—appearing alongside shorter, less built, and thus supposedly inferior counterparts.

In the early 2020s, mogging was associated with looksmaxxing (practices, sometimes extreme, younger men take to enhance their physical appearance). Looksmaxxers, as they are called, have been known to engage in online rituals where they rate their fellow appearances. Such rituals include calling out when one man mogs or is mogged by another man, sometimes based on an aspect of his physique so named as a particular act of mogging, e.g., hairmogging (when one man’s head of hair is considered fuller) or jawmogging (when one man’s jawline is perceived to be more chiseled).

During the early 2020s, as the term spread on social media, it also expanded as a more general, humorous term for various displays of dominance or superiority.","While the judgments associated with mogging have been criticized as harmful, the word is generally used playfully or ironically. And though it can be applied to various skills and traits, mog is most commonly used for comparisons concerning physical appearances. It is especially used online to comment on pictures and videos when one person—or less frequently, thing—is regarded as superior in some way as juxtaposed with another.

Mog can be a transitive verb (“He mogged his friends in Scrabble when he won by 100 points”) or, less often, an intransitive one (“Whenever she shows up to the club, she absolutely mogs”). In its intransitive use, mog can convey a more general sense of “to dominate, excel, stand out.”

It is also frequently used in passive constructions, especially to get mogged, be mogged, or feel mogged. People often use mog in this way in response to pictures and videos of people they self-deprecatingly admire, as in, “I opened up Instagram, saw your new profile pic, and immediately got mogged.”"
no cap,Y,"For real, seriously","No cap is a slang expression meaning “genuinely; truthfully,” used to emphasize the sincerity or seriousness of a statement.","No cap originates in African American English slang, in use by at least the early 2010s in the lyrics of hip-hop artists from Atlanta, Georgia. Their popularity helped spread no cap into the mainstream in the late 2010s and early 2020s.

The cap in no cap is based on African American English use meaning “to boast; exaggerate; lie; insult,” with examples recorded in the mid-1900s (although this sense is likely much older). Capping, in its sense of “insulting,” is associated with a distinct form of wordplay in Black culture, known as the dozens, involving a ritualized exchange of intensifying insults.","No cap is used widely in informal language. It is frequently placed at the end of a statement (“That was the best pizza ever, no cap”) or beginning (“No cap, I’m quitting my job today”). As such, it functions as a kind of adverb known technically as a disjunct. While no cap is meant to convey truthfulness, statements it qualifies are themselves frequently, and purposefully, exaggerated."
Ohio,Y,"weird, awkward, cringeworthy","Ohio is used (mostly on the Internet) to describe something that is weird, awkward, cringeworthy, or otherwise undesirable or bad in some way. It can also be used to mean ""boring"" or ""foolish.""","The Gen alpha slang use of Ohio as an insult originated on the Internet shortly after a series of memes about the US state of Ohio began circulating in the late twenty-teens. The most common type of these memes is the ""only in Ohio"" variety, which describes something weird or awkward and then claims that it happens in Ohio. Eamon Levesque describes the meme in a Substack post: ""The premise is simple: you take a video of something clearly wrong — so dysfunctional that it becomes surreal and unsettling — and describe it as 'normal in Ohio.' You feed a baby in Ohio by throwing it out the window. Monkeys at the Ohio Zoo have AK-47s. Your Ohio Hotel Room has Slender Man’s cousin living in its walls. Hit up an Ohio amusement park and you’ll get full-blown trebucheted."" From there, Ohio emerged as a new descriptive term for extremely weird things.","Ohio is sometimes used by itself to describe things as in ""that's so Ohio,"" but it is often found in combination with other Gen alpha slang terms such as skibidi and rizz:

My Gen alpha daughter just called me “bruh” and told me I had “Ohio rizz” for making her clean her room. Just another day in paradise! 🏝️
—@tinamarieinteriordesign, Threads, 2 Sep. 2024

Ohio is used interjectionally (especially on social media) in a string of other slang terms for humorous effect and seemingly as a series of nonsense words, often referred to as ""brain rot."""
OK boomer,Y,A sarcastic comeback to fogyish condescension,"OK boomer is an acerbic expression used, especially online, in response to something said by an older person. It serves to dismiss an opinion, attitude, or action as out-of-touch, condescending, ignorant, or otherwise cringeworthy.","The OK in OK boomer is ironic, meant to convey dismissive disregard of something out-of-touch said by a boomer. Boomer is a shortening of baby boomer, which means “someone born between 1946 and 1964.”

In the 2010s, younger generations, such as millennials or Gen Z, and older generations, such as baby boomers, clashed (or were seen to) in popular culture. A view attributed to so-called boomers was that younger people were stunted, lazy, and coddled. ‘Millennials could purchase a home,’ as a popular example goes, ‘if they only spent less money on avocado toast.’ Younger generations, in turn, ridiculed boomers for such opinions, blaming them for causing or exacerbating their material circumstances—as well as greater societal challenges—in the first place.

Around the mid-2010s, OK boomer emerged online as a kind of younger person's answer to the older person’s lament of “Kids these days…” The phrase went viral in October 2019 after it was prominently used in comments on a TikTok video where a middle-aged man criticized the purported softness of younger people. That November, it gained further attention when a younger New Zealand politician used it to dismiss an incredulous interruption by an older colleague during a speech she was delivering about climate change.","While early uses of OK boomer did take the form of a younger person clapping back at an older person for expressing dated opinions, the phrase has evolved as a more general way, regardless of age or generation, to dismiss someone perceived to be uniformed or cringey in some way.

The popularity of the phrase prompted some discussion of whether or not it can be construed as ageist. While it can certainly be cutting, OK boomer generally amounts only to mild mockery. That said, as with any pejorative expression, usage—and impact—may vary by speaker and context."
pick-me,Y,Someone disingenuously seeking attention or approval; relating to such a person or behavior,"Pick-me (or pick me) is a slang term for a person, usually a young woman, seen as behaving in a contemptible way for attention and approval, usually from male peers. It is most often used in the expression pick-me girl, which disparages a young woman who is seen as faking interest in stereotypically male activities or conforming to traditional values at the expense of other women. It also used in pick-me boy, referring to a young man who feigns emotional vulnerability to win the attention of women. More generally, pick-me can refer to anyone thought to be trying too hard to earn acceptance.","Pick-me is based on the phrase ""pick me,"" apparently meant as a caricature of a person imploring someone to choose them over others. While its exact origins are unclear, the phrase is popularly traced to a scene in a 2005 episode of the TV medical drama Grey’s Anatomy where the titular Meredith Grey asks—or, to many, begs—Derek Shepherd to pick her over his estranged wife. The term first spread online in 2016 on Twitter as part of a trend, started among Black women, calling on users to parody supposed behaviors of a pick-me using the hashtag #TweetLikeAPickMe. Many of these posts characterized pick-me girls as comically submissive to men.

The specific phrase pick-me girl went viral on social media in the early 2020s, starting on TikTok in skits mocking pick-me girls as desperately seeking attention from men and demeaning women to do it. The videos portrayed pick-me girls apt to say they were “not like other girls,” pretending to enjoy stereotypically male activities, such as sports and video games, while distancing themselves from female stereotypes, such as a concern for their appearance or love of shopping. By 2021, the phrase pick-me boy spread, caricaturing young men seen as manipulating young women into liking them by pretending to be emotionally sensitive and self-deprecating. In addition to concerns about bullying, the popularity of pick-me prompted popular discussion on topics of both toxic femininity and masculinity, including whether the insult exposed or perpetuated harmful behaviors.","Pick-me is used as a noun, as in “She is acting like such a pick-me when she claims she doesn’t like salads.” It is also used as an adjective, as in the phrases pick-me girl or boy, pick-me colleague, or pick-me energy. It is most commonly used as an insult, varying in intensity, primarily against young women.

However, it is increasingly being used more generally, and usually negatively, in reference to anyone seen as working too hard or underhandedly to gain acceptance or approval, especially of people in greater positions of power, status, or esteem, such as an employer or dominant social group."
preppy,Y,"A cheery, sporty style popular among girls involving lots of pink; a girl who follows this style","A new sense of an older term, preppy refers to a casual but upscale fashion trend, especially popular among preteen girls in the early 2020s, marked by bright colors and playful patterns. Some hallmarks include pastel pinks and blues, designs involving smiley faces and lightning bolts, athleisure, pleated miniskirts, baggy or cropped tops, hair bows, skincare products, and trendy accessories, with a premium placed on name brands.","The new sense of preppy is an outgrowth of its earlier—and continued—use for a fashion style, associated with the youth of wealthy prep schools, often involving such articles as polo shirts, argyle sweaters, navy blazers, headbands, and plaid skirts. This older sense of preppy dates back to the beginning of the 20th century.

The newer preppy is found as early as 2021 on TikTok, where the trend—and term—spread among preteen girls in 2022. In 2023, it prominently appeared in the phrase it’s so preppy in here, exclaimed by a young girl in a TikTok video that captured her excitement upon first visiting a boutique called Dear Hannah Prep, which sells clothing and accessories very much in the preppy style (and which may have subsequently influenced it). The video became subject to memes mocking the trend and girls associated with it.","Preppy is most widely used as an adjective, describing—and often marketing—branded clothing, decor, skincare products (and other accessories, such as trendy beverage containers and notebooks), that constitute the overall aesthetic. It is also used as a noun, referring to a girl who follows or admires preppy fashion.

Preppy can be used positively (especially among girls who embrace the fashion) as well as negatively (particularly among girls who ridicule their peers’ perceived fixation with it). In the former, it’s so preppy in here remains a popular way to compliment a display of preppiness. In the latter, preppy mocks qualities of the preppy girl, such as being too girly, attention-seeking, ‘basic,’ and—as with the older preppy—ostentatiously rich, as preppy brands are generally considered expensive."
reheat nachos,Y,"to produce a lesser version of or poor tribute to an earlier song, album, etc.","Reheating nachos is internet-speak for producing creative work—such as a song, album, acting performance, lewk, etc.—that is similar to, but (usually) not as good as, one that came before. In other words, to reheat nachos is to build on someone else’s work (or one’s own) without adding anything new or fresh.","Some commenters have suggested that reheat nachos originated on Twitter when someone suggested that the singer Shakira was reheating Beyoncé’s nachos (specifically, the album Renaissance) with her new music, but the general consensus is that the whole idea of such metaphorical nachos came from a viral clip of the reality show Baddies West in which Natalie Nunn and Stunna Girl are talking and Stunna Girl is eating nachos. The account sharing the clip captioned it “you can tell natalie lowkey wanted stunna girls nachos.” The verbal phrase caught fire in early 2025 in corners of social media devoted to pop culture fandom.","Reheat nachos seems straightforward as an idiom used to mildly criticize someone for unoriginality. However, it is quite new, and people are asking questions.

is reheating nachos inherently bad? someone get me a young person
—@stachional, Blue Sky, 23 Feb. 2025

To answer stachional’s question: at least at the moment, almost always. Just as literally reheating literal nachos tends to produce less-than-desirable results (that often make their way into the metaphor) …"
